# ALPHA = 0.5
# NUMBER_OF_TESTS = 11

# _SET1_  VARIABLE = Astrocytes (set)
# _SET1_  NGENES = 288
# _SET1_  P-VALUE = 0.0203568
_SET1_   GENE         CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   FKBP8         19   18632568   18689887    276      54  192448      0.95377      0.21574    5.6534e-05      0.95371
_SET2_   TMEM59L       19   18688682   18741849    285      44  272703      -1.7902      0.96689    5.6534e-05      -1.7902
_SET2_   CRTC1         19   18759425   18903143    676      84  258106      -1.3976      0.93944    5.6534e-05      -1.3976
_SET2_   SUGP2         19   19091697   19179861    419      35  188959     -0.50974      0.73317    5.6534e-05     -0.50979
_SET2_   SLC25A42      19   19139776   19233839    419      44  202210     -0.79351      0.82641    5.6534e-05     -0.79357
_SET2_   ZNF253        19   19941639   20015099    352      47  249159     -0.11493      0.59273    5.6534e-05     -0.11499
_SET2_   ZNF91         19   23530498   23613269    411      30  288449      0.38263      0.33981    5.6534e-05      0.38257
_SET2_   ZNF675        19   23825583   23905036    234      47  237945      -1.1903      0.90575    5.6534e-05      -1.1904
_SET2_   ZNF254        19   23979991   24322770   1678      75  282657     -0.39316      0.67115    5.6534e-05     -0.39322
_SET2_   C19orf12      19   30179793   30241696    354      55  277511      -1.8479      0.97202    5.6534e-05      -1.8479
_SET2_   URI1          19   30379551   30517519    588      56  228183     -0.11482      0.60804    5.6534e-05     -0.11488
_SET2_   DPY19L3       19   32861655   32986799    498      61  237018       1.0888      0.16651    5.6534e-05       1.0887
_SET2_   ANKRD27       19   33077907   33201102    813      47  299507     0.018819      0.47607    5.6534e-05     0.018762
_SET2_   CEP89         19   33359904   33497930    824      57  305595      0.29603      0.37732    5.6534e-05      0.29597
_SET2_   LRP3          19   33650599   33709773    305      52  287279      0.30536      0.41487    5.6534e-05       0.3053
_SET2_   LSM14A        19   34628352   34730420    483      51  266613      -0.6503       0.7513    5.6534e-05     -0.65036
_SET2_   GARRE1        19   34710456   34856471    631      62  243971      -1.1842      0.90189    5.6534e-05      -1.1843
_SET2_   GPI           19   34820645   34903318    339      59  237987     -0.51286      0.75596    5.6534e-05     -0.51292
_SET2_   UBA2          19   34884264   34970798    339      49  232771      0.10497      0.52434    5.6534e-05      0.10492
_SET2_   SCGB2B2       19   35074346   35120490    275      40  301032      0.65817      0.25363    5.6534e-05      0.65811
_SET2_   GRAMD1A       19   35450688   35527375    438      70  242161      -1.4649      0.94318    5.6534e-05       -1.465
_SET2_   CLIP3         19   36495562   36558797    244      66  247105      0.46618      0.38692    5.6534e-05      0.46613
_SET2_   ZFP14         19   36815355   36905126    353      35  245468      -1.4811      0.93212    5.6534e-05      -1.4812
_SET2_   ZNF566        19   36926021   37015804    328      35  299700      -1.6003      0.94182    5.6534e-05      -1.6004
_SET2_   ZNF529        19   37024517   37131178    388      50  254562     -0.76266      0.79481    5.6534e-05     -0.76271
_SET2_   ZNF382        19   37061207   37129499    237      47  244177     -0.44244      0.70299    5.6534e-05     -0.44249
_SET2_   ZNF568        19   37372231   37498834    691      33  350420     0.087177      0.40111    5.6534e-05      0.08712
_SET2_   ZNF420        19   37534319   37631221    379      37  259942      0.52565      0.29487    5.6534e-05       0.5256
_SET2_   ZNF875        19   37790580   37865357    320      48  219250      0.79927      0.25937    5.6534e-05      0.79921
_SET2_   SIPA1L3       19   38362525   38709009   1616     120  264830     -0.76811      0.82563    5.6534e-05     -0.76817
_SET2_   RYR1          19   38889340   39088204   1108     114  266350      -1.2741      0.93451    5.6534e-05      -1.2741
_SET2_   HNRNPL        19   39317028   39377979    297      45  174215      0.57874      0.33674    5.6534e-05      0.57868
_SET2_   SUPT5H        19   39901186   39977310    384      48  245354      0.34003      0.38358    5.6534e-05      0.33998
_SET2_   ZNF780B       19   40524167   40597125    390      35  235207       1.4034      0.09725    5.6534e-05       1.4034
_SET2_   AKT2          19   40726224   40826443    441      54  203892     -0.32171      0.68214    5.6534e-05     -0.32177
_SET2_   PLD3          19   40819302   40894392    345      62  236183     0.037468      0.54063    5.6534e-05     0.037411
_SET2_   SPTBN4        19   40938050   41092365    685     128  255286     -0.20765      0.67432    5.6534e-05      -0.2077
_SET2_   HNRNPUL1      19   41733391   41823811    326      46  237218      0.87576      0.22429    5.6534e-05      0.87571
_SET2_   GRIK5         19   42492468   42609278    265      74  134299      -1.1067      0.92719    5.6534e-05      -1.1067
_SET2_   POU2F2        19   42580262   42671625    216      49  179526     -0.74902      0.84065    5.6534e-05     -0.74907
_SET2_   ZNF155        19   44437014   44512477    457      43  275071     -0.17699      0.57367    5.6534e-05     -0.17705
_SET2_   ZNF235        19   44780501   44844606    293      44  238536       1.6193     0.063779    5.6534e-05       1.6192
_SET2_   CLPTM1        19   45422842   45506604    368      43  265904     -0.80344      0.79379    5.6534e-05      -0.8035
_SET2_   CLASRP        19   45507298   45584214    279      69  202965     -0.53303      0.77089    5.6534e-05     -0.53309
_SET2_   MARK4         19   45719516   45818541    480      67  296705       2.3152     0.012773    5.6534e-05       2.3151
_SET2_   EML2          19   46102658   46183775    407      62  293983       2.2276     0.015048    5.6534e-05       2.2275
_SET2_   SYMPK         19   46308700   46401548    470      59  315694       -1.044      0.86166    5.6534e-05      -1.0441
_SET2_   NOVA2         19   46432771   46511657    385      63  217280      0.67014      0.29272    5.6534e-05      0.67009
_SET2_   PPP5C         19   46815251   46906238    436      77  270188      0.27584      0.45426    5.6534e-05      0.27579
_SET2_   CALM3         19   47069512   47124039    260      56  253494     -0.82398      0.82896    5.6534e-05     -0.82404
_SET2_   ARHGAP35      19   47386824   47518334    454      66  181694      0.45131      0.40169    5.6534e-05      0.45125
_SET2_   NAPA          19   47980891   48053515    273      38  150429      -1.0843      0.90262    5.6534e-05      -1.0843
_SET2_   GRIN2D        19   48863132   48958188    396      76  266321     -0.35852      0.70001    5.6534e-05     -0.35857
_SET2_   LMTK3         19   48978528   49051446    329      56  214626      0.30777      0.46237    5.6534e-05      0.30771
_SET2_   GYS1          19   49461382   49531610    332      56  208934         0.48      0.36528    5.6534e-05      0.47995
_SET2_   SNRNP70       19   49553465   49621870    372      70  223322      0.63967        0.323    5.6534e-05      0.63961
_SET2_   PPFIA3        19   49587646   49664287    366      74  263732       2.8848    0.0030694    5.6534e-05       2.8848
_SET2_   CPT1C         19   50159363   50226988    280      73  198917       -1.358       0.9478    5.6534e-05       -1.358
_SET2_   AP2A1         19   50235180   50320369    371      77  238352        2.171     0.024541    5.6534e-05       2.1709
_SET2_   MYH14         19   50671885   50823801    935     124  302232     -0.57118      0.77622    5.6534e-05     -0.57123
_SET2_   LRRC4B        19   51010149   51106302    520     104  208191     0.043256      0.57361    5.6534e-05       0.0432
_SET2_   SHANK1        19   51153052   51255195    486     138  218546       1.4408      0.13297    5.6534e-05       1.4408
_SET2_   ZNF432        19   52526677   52587073    275      34  282047     -0.79369      0.79716    5.6534e-05     -0.79375
_SET2_   PPP2R1A       19   52658055   52739678    488      58  301723       1.0179      0.17027    5.6534e-05       1.0178
_SET2_   ZNF83         19   53105617   53228834    924      75  253434     0.013955      0.52193    5.6534e-05     0.013898
_SET2_   ZNF331        19   53989177   54093523    716      80  328075     -0.85787      0.81471    5.6534e-05     -0.85793
_SET2_   CACNG7        19   54377704   54457195    377      85  149116     -0.24627      0.71263    5.6534e-05     -0.24633
_SET2_   CACNG8        19   54431290   54503469    323      80  227452     -0.65679      0.80454    5.6534e-05     -0.65685
_SET2_   MBOAT7        19   54667106   54728733    393      82  213105       -1.078      0.89637    5.6534e-05       -1.078
_SET2_   LENG8         19   54924605   54983196    426      56  254866     -0.22994      0.62556    5.6534e-05     -0.22999
_SET2_   ZNF667        19   56940693   57023770    388      57  273241       1.8051     0.040368    5.6534e-05       1.8051
_SET2_   SMIM17        19   57119527   57178614    328      73  266284      0.50369      0.34848    5.6534e-05      0.50364
_SET2_   ZNF264        19   57667868   57744214    370      63  266310     -0.33042       0.6612    5.6534e-05     -0.33047
_SET2_   ZNF586        19   58246020   58301984    264      37  205252      -1.4722      0.94293    5.6534e-05      -1.4723
_SET2_   ZNF814        19   58370747   58435442    335      64  205327     -0.16725      0.63589    5.6534e-05      -0.1673
_SET2_   ZSCAN18       19   58585204   58664793    530      48  246416      0.53302      0.31384    5.6534e-05      0.53297
_SET2_   CSNK2A1       20     453338     559482    498     109  215048      -2.7196      0.99953    5.6534e-05      -2.7196
_SET2_   PSMF1         20    1058872    1159017    445      74  237609       1.5396     0.086793    5.6534e-05       1.5396
_SET2_   SNPH          20    1211948    1299971    426      86  278785      -1.2484       0.9219    5.6534e-05      -1.2484
_SET2_   PTPRA         20    2809841    3029316   1004      65  175559     -0.70109      0.79694    5.6534e-05     -0.70115
_SET2_   C20orf194     20    3219948    3423587   1095      47  295069       1.3951     0.077099    5.6534e-05       1.3951
_SET2_   ATRN          20    3416665    3641769   1042      63  273233     0.076592      0.48551    5.6534e-05     0.076536
_SET2_   CDC25B        20    3732419    3796765    318      62  294038       1.7931     0.043562    5.6534e-05       1.7931
_SET2_   RNF24         20    3902068    4031216    604      57  256015       1.6501     0.056507    5.6534e-05         1.65
_SET2_   PRNP          20    4631797    4692235    326      70  282715      0.78673       0.2601    5.6534e-05      0.78667
_SET2_   SLC23A2       20    4823002    5025939   1017     130  230742      0.75492       0.3099    5.6534e-05      0.75486
_SET2_   TMEM230       20    5039129    5128736    440      48  209678       0.4198      0.36678    5.6534e-05      0.41975
_SET2_   CDS2          20    5072407    5188533    514      56  256512     -0.19289      0.60655    5.6534e-05     -0.19295
_SET2_   CHGB          20    5856974    5916007    408      60  278440      -1.5079      0.94313    5.6534e-05       -1.508
_SET2_   TMX4          20    7951713    8035393    423      55  244042     -0.14835      0.60864    5.6534e-05     -0.14841
_SET2_   PLCB1         20    8077912    8875547   3965     317  285486      -2.5178      0.99898    5.6534e-05      -2.5178
_SET2_   PLCB4         20    9014357    9471463   1975     181  232967     -0.79428      0.87647    5.6534e-05     -0.79434
_SET2_   PAK5          20    9508037    9854687   1701     171  284647      0.54055      0.39181    5.6534e-05      0.54049
_SET2_   SNAP25        20   10164477   10298068    612      93  234735     -0.81616      0.84153    5.6534e-05     -0.81621
_SET2_   SLX4IP        20   10380951   10614551   1137      79  292370    -0.061717      0.54091    5.6534e-05    -0.061773
_SET2_   TASP1         20   13360036   13654583   1392      63  231661      0.14896      0.46799    5.6534e-05      0.14891
_SET2_   ESF1          20   13684969   13800579    525      50  284612      0.85166      0.20885    5.6534e-05       0.8516
_SET2_   MACROD2       20   13941146   16043842  10636     502  270790      0.92667      0.32692    5.6534e-05      0.92661
_SET2_   KIF16B        20   16242742   16589079   2049     117  282389      -1.5295       0.9528    5.6534e-05      -1.5296
_SET2_   PCSK2         20   17171752   17475223   1726     129  289503      -1.8982      0.98103    5.6534e-05      -1.8982
_SET2_   DSTN          20   17514818   17598887    409      90  252263      0.38262      0.44126    5.6534e-05      0.38256
_SET2_   ZNF133        20   18233872   18307640    363      50  318022      -1.3753      0.91836    5.6534e-05      -1.3754
_SET2_   RALGAPA2      20   20360202   20728281   1177      69  200075     -0.56519      0.76893    5.6534e-05     -0.56525
_SET2_   XRN2          20   21248942   21380463    444      47  280496     -0.40221      0.67288    5.6534e-05     -0.40227
_SET2_   NAPB          20   23345156   23437156    450      38  303922      -0.1358      0.54441    5.6534e-05     -0.13585
_SET2_   PYGB          20   25193706   25288648    609      44  227113     0.059017       0.4854    5.6534e-05      0.05896
_SET2_   ABHD12        20   25265379   25406618    735      41  231591     -0.17371      0.56004    5.6534e-05     -0.17376
_SET2_   NINL          20   25423333   25601167    823      61  240042       1.1252      0.14889    5.6534e-05       1.1251
_SET2_   ZNF337        20   25644744   25712515    311      31  244475        1.222      0.13088    5.6534e-05        1.222
_SET2_   HM13          20   30067213   30168178    344      34  231560      -1.0207      0.86487    5.6534e-05      -1.0208
_SET2_   TM9SF4        20   30662309   30765061    383      50  223688      -1.5073      0.94489    5.6534e-05      -1.5074
_SET2_   KIF3B         20   30830443   30932814    363      46  183032      -1.4997      0.94785    5.6534e-05      -1.4997
_SET2_   ASXL1         20   30911147   31037122    397      43  191157      -1.0598      0.87409    5.6534e-05      -1.0598
_SET2_   NOL4L         20   31020862   31207875    729      83  214036     -0.70966      0.81672    5.6534e-05     -0.70972
_SET2_   CBFA2T2       20   32042928   32247837    498      98  143543       2.7249     0.008727    5.6534e-05       2.7249
_SET2_   MAP1LC3A      20   33099688   33158149    195      55  172486       2.1957     0.023494    5.6534e-05       2.1957
_SET2_   NCOA6         20   33292578   33448433    472      64  216766       1.4274     0.096415    5.6534e-05       1.4274
_SET2_   GGT7          20   33422523   33495661    242      45  235324      0.38154       0.3851    5.6534e-05      0.38149
_SET2_   TRPC4AP       20   33580207   33715618    624      40  271204      0.83543      0.19547    5.6534e-05      0.83538
_SET2_   MMP24         20   33779539   33874804    373      59  227290     -0.79637      0.82709    5.6534e-05     -0.79643
_SET2_   UQCC1         20   33880369   34034945    581      49  240934    -0.046969      0.53956    5.6534e-05    -0.047025
_SET2_   CPNE1         20   34203953   34287878    294      29  292720      0.40559      0.35704    5.6534e-05      0.40554
_SET2_   RBM39         20   34281531   34365258    362      26  285068      0.37128      0.35866    5.6534e-05      0.37122
_SET2_   PHF20         20   34324923   34548292    931      40  280686    -0.037199      0.52363    5.6534e-05    -0.037255
_SET2_   EPB41L1       20   34644426   34830721    587      72  157343       -1.152      0.92163    5.6534e-05      -1.1521
_SET2_   DLGAP4        20   34960444   35167040    634     128  167726        1.335      0.16715    5.6534e-05       1.3349
_SET2_   NDRG3         20   35270169   35409541    315      98  185897      0.50266      0.44268    5.6534e-05       0.5026
_SET2_   SOGA1         20   35395845   35527087    410      91  220987       1.2635      0.15065    5.6534e-05       1.2635
_SET2_   BLCAP         20   36135819   36191333    227      36  158568      -1.2998         0.93    5.6534e-05      -1.2999
_SET2_   CTNNBL1       20   36287357   36510531    928      72  216257     -0.21551      0.63604    5.6534e-05     -0.21557
_SET2_   RALGAPB       20   37066486   37217504    529      48  210812     0.039027      0.54678    5.6534e-05      0.03897
_SET2_   TOP1          20   39622462   39763127    462      78  262552      -0.4764      0.74539    5.6534e-05     -0.47646
_SET2_   ZHX3          20   39797089   39963766    614      59  231988     -0.49199      0.72559    5.6534e-05     -0.49205
_SET2_   CHD6          20   40020741   40282133   1073      69  266841      -1.1545      0.89371    5.6534e-05      -1.1546
_SET2_   TOX2          20   42508492   42708256    990     153  254747       1.2046      0.18125    5.6534e-05       1.2046
_SET2_   SERINC3       20   43114864   43185726    234      50  238867      0.96036      0.22247    5.6534e-05      0.96031
_SET2_   YWHAB         20   43479240   43547173    316      33  244847     -0.73688      0.77038    5.6534e-05     -0.73693
_SET2_   ZMYND8        20   45827994   46020485    785     132  185637       1.1317        0.217    5.6534e-05       1.1316
_SET2_   NCOA3         20   46095601   46295621    771      52  265612    0.0038333      0.51715    5.6534e-05    0.0037767
_SET2_   ARFGEF2       20   47503250   47663230    695      51  294128       1.7208     0.040887    5.6534e-05       1.7208
_SET2_   STAU1         20   47719876   47839907    493      61  258041       1.5841     0.066746    5.6534e-05       1.5841
_SET2_   KCNB1         20   47978505   48134181    803      89  289901      -1.0115      0.87167    5.6534e-05      -1.0115
_SET2_   B4GALT5       20   48239482   48365421    647      62  253866       2.8391    0.0028247    5.6534e-05       2.8391
_SET2_   PTPN1         20   49091858   49211299    570      55  278979       1.8282     0.037992    5.6534e-05       1.8282
_SET2_   ADNP          20   49495585   49582527    367      51  211755      0.79404       0.2643    5.6534e-05      0.79398
_SET2_   DPM1          20   49541404   49610081    286      66  194150      0.46249      0.40871    5.6534e-05      0.46244
_SET2_   ATP9A         20   50203314   50419908   1359      79  306113     -0.59965      0.73164    5.6534e-05     -0.59971
_SET2_   DOK5          20   53057266   53277710   1269      88  192950      0.25855      0.48245    5.6534e-05       0.2585
_SET2_   VAPB          20   56929175   57036157    518      78  250632     -0.54254      0.75518    5.6534e-05      -0.5426
_SET2_   GNAS          20   57379756   57496250    475     104  268359       1.1452       0.1746    5.6534e-05       1.1451
_SET2_   CDH4          20   59792482   60525673   5175     426  253175       0.4364      0.53407    5.6534e-05      0.43634
_SET2_   DIDO1         20   61499090   61604304    601      83  253551     -0.10726      0.60529    5.6534e-05     -0.10731
_SET2_   KCNQ2         20   62021561   62138993    781      95  284184      0.10027      0.51426    5.6534e-05      0.10021
_SET2_   EEF1A2        20   62109365   62165668    444      62  265761      0.67673      0.28828    5.6534e-05      0.67668
_SET2_   STMN3         20   62261058   62319963    396      50  256596       2.3061     0.012938    5.6534e-05        2.306
_SET2_   ZBTB46        20   62365021   62498731    827      61  287740     -0.33606       0.6424    5.6534e-05     -0.33611
_SET2_   DNAJC5        20   62491455   62577384    441      56  245875     -0.84642      0.83552    5.6534e-05     -0.84648
_SET2_   PCMTD2        20   62852048   62917583    338      62  252912        1.683     0.058185    5.6534e-05       1.6829
_SET2_   USP25         21   17067327   17262377    814      49  196276     -0.39134      0.70058    5.6534e-05      -0.3914
_SET2_   CXADR         21   18850224   18975897    659      75  226356     0.069917      0.52855    5.6534e-05     0.069861
_SET2_   NCAM2         21   22335633   22923892   3218     212  268738     -0.54365      0.81556    5.6534e-05     -0.54371
_SET2_   APP           21   27242861   27578446   1622     128  251107      -0.2978      0.70112    5.6534e-05     -0.29785
_SET2_   TIAM1         21   32480736   32966290   2597     235  250566        -1.19      0.95038    5.6534e-05      -1.1901
_SET2_   SOD1          21   32996935   33051244    214      48  267774      0.36148      0.42243    5.6534e-05      0.36142
_SET2_   SCAF4         21   33033313   33139431    417      55  256513      0.75878      0.26826    5.6534e-05      0.75872
_SET2_   SYNJ1         21   33987269   34135351    472      76  238299     -0.83486      0.84182    5.6534e-05     -0.83492
_SET2_   IFNAR1        21   34661748   34742129    391      51  277730      -1.2527      0.90041    5.6534e-05      -1.2528
_SET2_   IFNGR2        21   34740202   34819828    340      62  255190     -0.47069       0.7224    5.6534e-05     -0.47074
_SET2_   TMEM50B       21   34794793   34887316    413      43  264846      0.29727      0.38279    5.6534e-05      0.29722
_SET2_   ITSN1         21   34979706   35271609   1023     121  219681       2.0702     0.035447    5.6534e-05       2.0701
_SET2_   MRPS6         21   35410823   35525334    447      54  200585      0.24323       0.4725    5.6534e-05      0.24318
_SET2_   RCAN1         21   35878782   36022382    992      84  275937     -0.52544      0.73053    5.6534e-05      -0.5255
_SET2_   MORC3         21   37657360   37759999    571      60  262544       1.8618     0.038185    5.6534e-05       1.8618
_SET2_   HLCS          21   38113189   38397545   1539     102  268656      0.12418      0.49448    5.6534e-05      0.12413
_SET2_   TTC3          21   38410554   38585408    931      53  279534      0.81186      0.19744    5.6534e-05      0.81181
_SET2_   DYRK1A        21   38704859   38897679    965      67  241646       5.5456    2.447e-08    5.6534e-05       5.5456
_SET2_   KCNJ6         21   38986778   39323741   1717     169  263505    -0.011201      0.61402    5.6534e-05    -0.011258
_SET2_   BRWD1         21   40546102   40720745   1009      33  237965      0.29385      0.36363    5.6534e-05       0.2938
_SET2_   DSCAM         21   41374343   42254039   5450     370  264188       2.2276     0.041705    5.6534e-05       2.2275
_SET2_   SLC37A1       21   43884742   44011550    756      59  295784    -0.038871      0.51835    5.6534e-05    -0.038927
_SET2_   PDE9A         21   44038862   44205619   1077     123  283245       1.9287     0.040715    5.6534e-05       1.9286
_SET2_   NDUFV3        21   44278378   44339773    381      37  329759      -1.5543      0.93168    5.6534e-05      -1.5544
_SET2_   PKNOX1        21   44359643   44463688    740      45  354503     -0.92688       0.8015    5.6534e-05     -0.92694
_SET2_   PDXK          21   45103978   45192188    522      89  216659    -0.072413      0.60445    5.6534e-05    -0.072469
_SET2_   AGPAT3        21   45250116   45417475    957     100  218939       1.6221      0.07659    5.6534e-05        1.622
_SET2_   TRAPPC10      21   45397206   45536433    677      72  200558      0.34921      0.43884    5.6534e-05      0.34916
_SET2_   TRPM2         21   45735046   45872964    749      88  199567       1.3425       0.1315    5.6534e-05       1.3424
_SET2_   UBE2G2        21   46178495   46256751    455      49  267269      -1.5697      0.94687    5.6534e-05      -1.5697
_SET2_   SUMO3         21   46215532   46273044    382      54  240013      -1.4022      0.93483    5.6534e-05      -1.4022
_SET2_   ADARB1        21   46459493   46656478   1042      74  248260      0.87279      0.22372    5.6534e-05      0.87273
_SET2_   COL6A1        21   47366663   47434963    449      71  268777     -0.26212      0.64047    5.6534e-05     -0.26218
_SET2_   PCNT          21   47708976   47875682   1046      66  247492       1.3719     0.098753    5.6534e-05       1.3719
_SET2_   DIP2A         21   47843862   47999926    913      58  272224      -0.3057      0.62868    5.6534e-05     -0.30576
_SET2_   PRMT2         21   48020507   48095155    444      61  281521     -0.60561       0.7534    5.6534e-05     -0.60567
_SET2_   ATP6V1E1      22   18064902   18146588    497      49  283969      -1.0203       0.8501    5.6534e-05      -1.0203
_SET2_   BCL2L13       22   18076621   18223621    845      49  290698      -1.3014      0.89909    5.6534e-05      -1.3015
_SET2_   MICAL3        22   18260415   18542325   1794     144  283432      0.67453       0.3209    5.6534e-05      0.67447
_SET2_   DGCR2         22   19013795   19144967    788      47  271310      -1.4632      0.92725    5.6534e-05      -1.4633
_SET2_   CLTCL1        22   19156986   19314247    871      50  242840       1.0311      0.16552    5.6534e-05        1.031
_SET2_   COMT          22   19894263   19967498    544      78  282594      0.38636      0.39182    5.6534e-05      0.38631
_SET2_   TANGO2        22   19969554   20063449    555      71  290265      0.02489      0.52394    5.6534e-05     0.024834
_SET2_   KLHL22        22   20785806   20885170    361      45  258864      -1.4376      0.93232    5.6534e-05      -1.4377
_SET2_   MED15         22   20826849   20951919    534      47  254450     -0.77552      0.79437    5.6534e-05     -0.77558
_SET2_   PI4KA         22   21051979   21248100    907      38  258026     -0.58075      0.69902    5.6534e-05      -0.5808
_SET2_   HIC2          22   21736693   21815752     63      26   53937      0.56289      0.40845    5.6534e-05      0.56283
_SET2_   UBE2L3        22   21868736   21988323    263      30  218945     -0.50862      0.72068    5.6534e-05     -0.50867
_SET2_   MAPK1         22   22103946   22256970    634      58  253035       1.9983     0.027086    5.6534e-05       1.9983
_SET2_   BCR           22   23487402   23670224   1057      82  225672     -0.23203      0.64061    5.6534e-05     -0.23208
_SET2_   SMARCB1       22   24094150   24186705    736      53  254228     -0.51706      0.72056    5.6534e-05     -0.51711
_SET2_   CABIN1        22   24372642   24584596    685      83  214784     -0.96704      0.88553    5.6534e-05      -0.9671
_SET2_   SGSM1         22   25167136   25332813   1110     141  264387      -1.0961       0.9107    5.6534e-05      -1.0962
_SET2_   KIAA1671      22   25313676   25603415   1233     147  260565     -0.54276      0.78712    5.6534e-05     -0.54281
_SET2_   GRK3          22   25925861   26135259    917      54  247443       1.4698     0.087105    5.6534e-05       1.4697
_SET2_   SEZ6L         22   26530440   26789563   1545     157  274228     -0.12941      0.65195    5.6534e-05     -0.12947
_SET2_   PITPNB        22   28237657   28350255    354      55  257424     -0.72635      0.81133    5.6534e-05     -0.72641
_SET2_   TTC28         22   28364002   29110853   2513      87  240155      0.10099      0.51761    5.6534e-05      0.10093
_SET2_   EWSR1         22   29628998   29706515    327      73  245415     -0.85187      0.84471    5.6534e-05     -0.85193
_SET2_   AP1B1         22   29713669   29819754    477      76  223580     -0.62343      0.79032    5.6534e-05     -0.62348
_SET2_   NF2           22   29964545   30104589    591      60  240553      0.30523      0.41096    5.6534e-05      0.30517
_SET2_   MTMR3         22   30244149   30436857    764      53  270088      -1.5157      0.93975    5.6534e-05      -1.5157
_SET2_   OSBP2         22   31054769   31313811   1197     114  285835      -1.7991      0.97543    5.6534e-05      -1.7992
_SET2_   LIMK2         22   31573225   31686066    472      63  229253     -0.94566      0.86346    5.6534e-05     -0.94572
_SET2_   EIF4ENIF1     22   31825345   31920936    430      59  233836     -0.11149      0.59996    5.6534e-05     -0.11154
_SET2_   SFI1          22   31857125   32024537    827      53  285064      0.82245       0.2229    5.6534e-05      0.82239
_SET2_   PISD          22   32004477   32093550    462      50  281469      0.25685        0.442    5.6534e-05      0.25679
_SET2_   PRR14L        22   32067333   32181120    508      48  256277      0.27281      0.43877    5.6534e-05      0.27275
_SET2_   SYN3          22   32898539   33489377   3182     225  248729     -0.18557       0.7266    5.6534e-05     -0.18563
_SET2_   LARGE1        22   33658509   34351464   4149     295  251876      -1.5674      0.98205    5.6534e-05      -1.5675
_SET2_   TOM1          22   35660268   35753987    407      57  266223      -1.4872      0.93881    5.6534e-05      -1.4872
_SET2_   RBFOX2        22   36124783   36459679   1117      78  193312      -1.2677      0.92989    5.6534e-05      -1.2678
_SET2_   CACNG2        22   36946916   37133690    951     135  258536      0.27326      0.49367    5.6534e-05      0.27321
_SET2_   ELFN2         22   37754000   37858505    637      97  233029     -0.43678      0.73226    5.6534e-05     -0.43684
_SET2_   FAM227A       22   38964125   39087634    512      40  271685       1.1734      0.11956    5.6534e-05       1.1734
_SET2_   CBX6          22   39247468   39303258    298      38  306198      0.15668      0.42534    5.6534e-05      0.15662
_SET2_   SYNGR1        22   39710954   39791593    427      54  285009     -0.10456      0.55909    5.6534e-05     -0.10461
_SET2_   MGAT3         22   39808235   39898199    375      77  177997     -0.28377      0.69483    5.6534e-05     -0.28383
_SET2_   TNRC6B        22   40405046   40741812   1276      65  194397      -1.2568      0.91144    5.6534e-05      -1.2568
_SET2_   MRTFA         22   40796292   41067690   1164      61  183446      -1.4627      0.94635    5.6534e-05      -1.4628
_SET2_   ST13          22   41210539   41288012    281      52  135049     -0.38305        0.743    5.6534e-05      -0.3831
_SET2_   XPNPEP3       22   41218085   41338823    423      59  115264     -0.42259      0.75933    5.6534e-05     -0.42264
_SET2_   RBX1          22   41312351   41379019    222      52  111989       0.1382      0.56634    5.6534e-05      0.13815
_SET2_   EP300         22   41453614   41586081    508      62  206052       1.3248      0.11848    5.6534e-05       1.3248
_SET2_   RANGAP1       22   41630781   41717255    341      46  190041       2.5778    0.0069643    5.6534e-05       2.5778
_SET2_   ZC3H7B        22   41662507   41766151    390      63  172050       3.6281   0.00030683    5.6534e-05       3.6281
_SET2_   ACO2          22   41830099   41934993    451      62  138597       1.9661     0.043209    5.6534e-05        1.966
_SET2_   XRCC6         22   41982250   42070052    391      39  117300      0.16095      0.51796    5.6534e-05      0.16089
_SET2_   SREBF2        22   42194083   42313312    531      61  244855      0.25408      0.45095    5.6534e-05      0.25403
_SET2_   SEPTIN3       22   42337855   42404225    348      43  252469      0.36489      0.37452    5.6534e-05      0.36484
_SET2_   TCF20         22   42546019   42699768    664      81  235984       0.9733      0.20821    5.6534e-05      0.97324
_SET2_   PACSIN2       22   43255772   43446184    988      51  268666       1.2645     0.096749    5.6534e-05       1.2645
_SET2_   SCUBE1        22   43589229   43774394   1197     170  275931       1.3848      0.14313    5.6534e-05       1.3847
_SET2_   EFCAB6        22   43914624   44243217   1709      73  269402    0.0069653      0.51793    5.6534e-05    0.0069088
_SET2_   SULT4A1       22   44210387   44293378    476      47  320819     -0.38659      0.64223    5.6534e-05     -0.38664
_SET2_   PARVB         22   44360091   44575113   1292     193  270104       1.3111      0.16659    5.6534e-05        1.311
_SET2_   KIAA0930      22   45578123   45671650    700      77  254196      0.91534      0.20433    5.6534e-05      0.91528
_SET2_   ATXN10        22   46032678   46251187    995      64  254765      -1.8238      0.97226    5.6534e-05      -1.8239
_SET2_   TBC1D22A      22   47123514   47581342   2877     199  264277     -0.99101      0.90797    5.6534e-05     -0.99106
_SET2_   TAFA5         22   48850288   49157744   2642     241  290069      0.92155      0.30232    5.6534e-05      0.92149
_SET2_   SELENOO       22   50604408   50666045    378      65  253239       1.1944      0.14302    5.6534e-05       1.1944
_SET2_   PPP6R2        22   50746746   50893519    802      67  275073       2.3856     0.010039    5.6534e-05       2.3856

