# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE         CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
BDP1           5   70716442   70873649    528      31  282056     -0.35936    5.6534e-05     -0.35942
MCCC2          5   70848115   70964533    476      46  299592     -0.61496    5.6534e-05     -0.61501
CARTPT         5   70979990   71026875    273      41  270964     -0.04467    5.6534e-05    -0.044727
MAP1B          5   71368118   71515397    626     109  264011      -1.9467    5.6534e-05      -1.9467
MRPS27         5   71505236   71651084    445      62  206608      -1.3648    5.6534e-05      -1.3649
PTCD2          5   71581200   71666544    250      58  181821      -1.2344    5.6534e-05      -1.2345
ZNF366         5   71728238   71838249    540      44  229791     -0.69096    5.6534e-05     -0.69102
TNPO1          5   72077418   72220215    442      54  255780      0.29314    5.6534e-05      0.29308
FCHO2          5   72216808   72396349    532      48  250548     -0.66668    5.6534e-05     -0.66674
TMEM171        5   72375286   72437765    228      52  257089     -0.84727    5.6534e-05     -0.84733
TMEM174        5   72429080   72481073    277      42  322380     -0.51331    5.6534e-05     -0.51336
FOXD1          5   72732083   72779352    177      40  205405      0.96114    5.6534e-05      0.96109
BTF3           5   72759250   72811448    242      31  263147      -1.1837    5.6534e-05      -1.1838
UTP15          5   72826568   72888984    281      31  274900     -0.18065    5.6534e-05     -0.18071
ANKRA2         5   72838025   72896521    236      33  304434      0.12855    5.6534e-05       0.1285
ARHGEF28       5   72886983   73247818   1676     136  281855     -0.86036    5.6534e-05     -0.86042
HEXB           5   73900547   74027113    529      94  281901       -1.245    5.6534e-05       -1.245
ENC1           5   73913231   73972249    267      62  256797     -0.82618    5.6534e-05     -0.82624
GFM2           5   74007029   74098196    297      31  305372       -1.718    5.6534e-05      -1.7181
NSA2           5   74027816   74082737    172      30  302080      -1.7585    5.6534e-05      -1.7585
FAM169A        5   74063399   74198832    487      56  253222      -1.3164    5.6534e-05      -1.3164
GCNT4          5   74313246   74385743    331      52  260073       3.8617    5.6534e-05       3.8617
ANKRD31        5   74354122   74567703    896      41  273841       3.3938    5.6534e-05       3.3938
HMGCR          5   74597159   74667926    279      42  292362       1.3691    5.6534e-05       1.3691
CERT1          5   74656928   74842806    656      64  231710       1.4323    5.6534e-05       1.4323
POLK           5   74772657   74905646    436      63  231275       1.4259    5.6534e-05       1.4258
ANKDD1B        5   74872301   74977671    418      53  274672      0.95001    5.6534e-05      0.94995
POC5           5   74960023   75048313    477      53  261482        1.339    5.6534e-05        1.339
SV2C           5   75343997   75659764   1761     132  263814       1.0655    5.6534e-05       1.0654
IQGAP2         5   75664131   76013957   1775     193  285326      0.25624    5.6534e-05      0.25618
F2RL2          5   75901307   75954259    397      41  350354      -1.4227    5.6534e-05      -1.4227
F2R            5   75976868   76041595    328      52  246424      0.33125    5.6534e-05       0.3312
F2RL1          5   76079833   76141140    261      39  230484     -0.67728    5.6534e-05     -0.67734
S100Z          5   76110826   76227056    559      70  213250     -0.37442    5.6534e-05     -0.37448
CRHBP          5   76213680   76275299    328      54  255336      -1.6961    5.6534e-05      -1.6962
AGGF1          5   76291210   76371059    344      51  304967      -1.0529    5.6534e-05       -1.053
ZBED3          5   76362532   76418030    250      60  259211     -0.72563    5.6534e-05     -0.72569
PDE8B          5   76441082   76734081   1350     120  283404    -0.020711    5.6534e-05    -0.020767
WDR41          5   76717622   76823332    637      46  307793      0.70653    5.6534e-05      0.70647
OTP            5   76914537   76969522    232      60  248190      -1.3999    5.6534e-05      -1.3999
TBCA           5   76976995   77107185    683      44  307503       -2.322    5.6534e-05      -2.3221
AP3B1          5   77288150   77625579   1306      68  255960      -1.0603    5.6534e-05      -1.0603
SCAMP1         5   77621339   77786562    738      46  266712      -1.2604    5.6534e-05      -1.2605
LHFPL2         5   77771038   77979648    794      87  244935    -0.031547    5.6534e-05    -0.031604
ARSB           5   78063032   78317357   1312     111  279567     -0.41652    5.6534e-05     -0.41658
DMGDH          5   78283387   78400497    555      48  295113     -0.74463    5.6534e-05     -0.74468
BHMT2          5   78330547   78395897    311      37  308075     -0.58646    5.6534e-05     -0.58651
BHMT           5   78372604   78438113    265      44  253546      0.11741    5.6534e-05      0.11735
JMY            5   78496925   78633038    530      42  229193        1.112    5.6534e-05        1.112
HOMER1         5   78659647   78844659    777      77  239166       1.1187    5.6534e-05       1.1187
TENT2          5   78873243   78992471    546      57  237492    -0.074057    5.6534e-05    -0.074114
CMYA5          5   78950659   79106049    801     124  243450      -1.9549    5.6534e-05       -1.955
MTX3           5   79262539   79322088    231      47  246299     -0.37272    5.6534e-05     -0.37277
THBS4          5   79296170   79389111    401      40  260224      0.20522    5.6534e-05      0.20516
SERINC5        5   79397050   79586898   1161     130  279097      -0.9401    5.6534e-05     -0.94016
SPZ1           5   79580790   79627661    297      39  332522       1.4433    5.6534e-05       1.4432
ZFYVE16        5   79668386   79785498    502      42  268712       3.2518    5.6534e-05       3.2517
FAM151B        5   79748800   79848382    385      67  245869       2.5021    5.6534e-05       2.5021
ANKRD34B       5   79842574   79901304    289      54  266467      0.13222    5.6534e-05      0.13216
DHFR           5   79912045   79985800    516      23  325989      -1.1034    5.6534e-05      -1.1035
MSH3           5   79915467   80182634   1274      63  282767      -1.1184    5.6534e-05      -1.1185
RASGRF2        5   80221491   80535981   1661     177  254338      0.57198    5.6534e-05      0.57193
CKMT2          5   80493605   80572217    355      55  238179      0.18216    5.6534e-05       0.1821
ZCCHC9         5   80562402   80618966    213      48  261720      0.22363    5.6534e-05      0.22357
ACOT12         5   80615731   80724988    559      86  260095       1.3903    5.6534e-05       1.3903
SSBP2          5   80703179   81082072   1524     103  236180       2.2133    5.6534e-05       2.2132
ATG10          5   81232844   81561958   1079      88  217769      -1.3523    5.6534e-05      -1.3523
RPS23          5   81559139   81609235    221      60  225447       -1.348    5.6534e-05      -1.3481
ATP6AP1L       5   81566166   81624147    246      65  214706      -1.0279    5.6534e-05       -1.028
XRCC4          5   82338317   82659579   1607      66  210463      -1.2745    5.6534e-05      -1.2746
TMEM167A       5   82338665   82408272    361      42  215698     -0.31863    5.6534e-05     -0.31868
VCAN           5   82732493   82888122    721     121  228884      -1.6188    5.6534e-05      -1.6189
HAPLN1         5   82924017   83051896    630     111  205977     -0.60801    5.6534e-05     -0.60807
EDIL3          5   83226414   83715685   1795     177  240580     -0.75236    5.6534e-05     -0.75242
COX7C          5   85878784   85926583    171      35  124931     0.020359    5.6534e-05     0.020303
RASA1          5   86529070   86697743    668      55  153700      -1.0376    5.6534e-05      -1.0377
CCNH           5   86677310   86743850    266      39  132472     -0.41089    5.6534e-05     -0.41095
TMEM161B       5   87475450   87599665    457      64  178791      0.30082    5.6534e-05      0.30077
MEF2C          5   88004058   88234922    782      85  231339    -0.064757    5.6534e-05    -0.064814
CETN3          5   89679528   89740611    167      57  153234     -0.25238    5.6534e-05     -0.25243
POLR3G         5   89734876   89820474    288      53  243237     -0.87385    5.6534e-05      -0.8739
MBLAC2         5   89744020   89805585    210      53  237605      -1.0099    5.6534e-05        -1.01
LYSMD3         5   89801443   89860401    232      42  237196     -0.68595    5.6534e-05     -0.68601
ADGRV1         5   89819617   90470254   2747     155  248012       2.3911    5.6534e-05       2.3911
ARRDC3         5   90654541   90714149    181      43  191105     -0.22883    5.6534e-05     -0.22888
NR2F1          5   92884043   92940319    152      51  171094     -0.36147    5.6534e-05     -0.36153
FAM172A        5   92943431   93482404   1515      68  219259      -0.2713    5.6534e-05     -0.27135
POU5F2         5   93066015   93112309    140      44  195440     -0.75689    5.6534e-05     -0.75695
KIAA0825       5   93476556   93989309   1602     166  232138      -1.5677    5.6534e-05      -1.5678
SLF1           5   93918086   94043326    514      45  268276      -1.5545    5.6534e-05      -1.5546
MCTP1          5   94028280   94655279   2670     221  260671     -0.64834    5.6534e-05      -0.6484
FAM81B         5   94692048   94796145    525      69  265645      0.79179    5.6534e-05      0.79174
TTC37          5   94789599   94925709    538      47  246567     -0.10816    5.6534e-05     -0.10821
ARSK           5   94855825   94950806    337      46  210262      0.62789    5.6534e-05      0.62783
GPR150         5   94920980   94967284    176      64  180851      0.72542    5.6534e-05      0.72536
RFESD          5   94947471   95002849    219      57  217830      0.36639    5.6534e-05      0.36633
SPATA9         5   94977885   95053885    353      52  269783      0.99223    5.6534e-05      0.99218
RHOBTB3        5   95014181   95142071    570      91  244738      0.54188    5.6534e-05      0.54182
GLRX           5   95139553   95193577    269      43  334995     -0.60668    5.6534e-05     -0.60673
ELL2           5   95210802   95332775    421      37  219389       1.3065    5.6534e-05       1.3064
PCSK1          5   95716040   95803985    372      83  231666     -0.76048    5.6534e-05     -0.76053
CAST           5   95962741   96120387    753      76  302074     -0.28599    5.6534e-05     -0.28604
ERAP1          5   96086514   96184848    614      42  333498     -0.73945    5.6534e-05     -0.73951
ERAP2          5   96176644   96265420    581      42  328520     -0.54834    5.6534e-05      -0.5484
LNPEP          5   96236346   96375115    663      36  255181     -0.62763    5.6534e-05     -0.62769
LIX1           5   96417574   96513520    390      92  252995    -0.043577    5.6534e-05    -0.043633
RIOK2          5   96486571   96554005    326      55  306654     -0.19562    5.6534e-05     -0.19567
RGMB           5   98069999   98142198    288      45  262277       -2.001    5.6534e-05       -2.001
CHD1           5   98179689   98299522    481      65  229222      -1.6225    5.6534e-05      -1.6226
FAM174A        5   99836051   99932440    346      42  225381     -0.44822    5.6534e-05     -0.44828
ST8SIA4        5  100132639  100273989    556      43  246803     -0.30043    5.6534e-05     -0.30048
SLCO4C1        5  101559690  101667253    634      52  326897       1.5848    5.6534e-05       1.5847
SLCO6A1        5  101697492  101869720    961      41  281738      0.95844    5.6534e-05      0.95838
PAM            5  102166527  102376809    697      54  246313       3.5872    5.6534e-05       3.5872
GIN1           5  102411704  102490842    373      28  293345        2.749    5.6534e-05       2.7489
PPIP5K2        5  102420958  102549224    544      36  266337       2.2845    5.6534e-05       2.2845
MACIR          5  102559442  102624361    276      34  230286       3.4609    5.6534e-05       3.4608
NUDT12         5  102874556  102933493    280      64  245265     -0.21539    5.6534e-05     -0.21544
EFNA5          5  106702590  107041596   1658     191  236236      0.71903    5.6534e-05      0.71897
FBXL17         5  107184734  107753080   2564      92  231730     -0.78981    5.6534e-05     -0.78987
FER            5  108048523  108533373   2409      97  315628     -0.16612    5.6534e-05     -0.16618
PJA2           5  108660410  108780675    643      41  289709      -1.1228    5.6534e-05      -1.1228
MAN2A1         5  108990156  109213429   1149      50  319773      0.37256    5.6534e-05      0.37251
TMEM232        5  109745197  110097507   1527      64  240441     -0.51231    5.6534e-05     -0.51236
SLC25A46       5  110038837  110110857    297      42  246652     -0.82097    5.6534e-05     -0.82102
TSLP           5  110370778  110423722    235      73  190428      0.29762    5.6534e-05      0.29757
WDR36          5  110392870  110476200    414      57  270378      -1.1825    5.6534e-05      -1.1825
CAMK4          5  110524947  110840584   1418     118  270678      -1.3415    5.6534e-05      -1.3416
STARD4         5  110821731  110883234    296      54  214806      0.58096    5.6534e-05      0.58091
NREP           5  111055000  111347628   1417      99  229510     -0.55994    5.6534e-05        -0.56
EPB41L4A       5  111468139  111790187   1864     114  210433       1.0049    5.6534e-05       1.0048
APC            5  112008202  112191936    999      60  231294      0.32561    5.6534e-05      0.32555
SRP19          5  112161885  112238776    472      52  244950      0.56655    5.6534e-05      0.56649
REEP5          5  112202081  112293339    535      48  230774      0.60098    5.6534e-05      0.60092
DCP2           5  112277399  112367892    501      76  232872      0.73221    5.6534e-05      0.73215
MCC            5  112347796  112859527   3110     116  297126       1.0935    5.6534e-05       1.0935
TSSK1B         5  112758251  112805728    274      34  306264      0.32851    5.6534e-05      0.32845
YTHDC2         5  112814391  112940984    755      37  316848        1.152    5.6534e-05       1.1519
KCNN2          5  113663016  113842197    778      83  242875       1.3519    5.6534e-05       1.3518
TRIM36         5  114450459  114551243    441      74  220876       1.6923    5.6534e-05       1.6922
PGGT1B         5  114536527  114634123    398      61  230018       0.3198    5.6534e-05      0.31974
CCDC112        5  114592885  114667458    314      61  239530      0.29049    5.6534e-05      0.29043
FEM1C          5  114846605  114915591    292      45  215643     -0.25603    5.6534e-05     -0.25608
TICAM2         5  114904339  114987142    366      40  236392      0.77831    5.6534e-05      0.77825
TMED7          5  114938905  114996876    307      31  274111      0.44007    5.6534e-05      0.44001
CDO1           5  115130430  115187405    302      47  130972      0.55895    5.6534e-05       0.5589
AP3S1          5  115142303  115259778    534      73  171813      0.29948    5.6534e-05      0.29942
ATG12          5  115153893  115212548    264      48  165685      0.38123    5.6534e-05      0.38118
LVRN           5  115263151  115373303    854      79  259091      -1.4715    5.6534e-05      -1.4715
ARL14EPL       5  115352163  115404827    453      65  248662       -1.758    5.6534e-05       -1.758
COMMD10        5  115385727  115638978   2227      55  264118      -1.1462    5.6534e-05      -1.1462
SEMA6A         5  115769251  115945551   1027     131  265626      -2.7003    5.6534e-05      -2.7004
DTWD2          5  118162569  118359240    897      93  200625      0.83635    5.6534e-05       0.8363
DMXL1          5  118371839  118594822    924      63  159614     -0.11906    5.6534e-05     -0.11911
TNFAIP8        5  118569418  118740294    909     101  260721   -0.0088481    5.6534e-05   -0.0089046
HSD17B4        5  118753138  118888030    732      64  231235       2.5137    5.6534e-05       2.5136
FAM170A        5  118930254  118981517    316      32  282596       1.1196    5.6534e-05       1.1196
PRR16          5  119764973  120033009   1548     121  298606     0.015439    5.6534e-05     0.015382
FTMT           5  121152650  121198528    257      45  237404       -1.231    5.6534e-05       -1.231
SRFBP1         5  121262656  121374295    452      42  231211     0.058904    5.6534e-05     0.058848
LOX            5  121388890  121449206    260      52  229438      0.34585    5.6534e-05      0.34579
ZNF474         5  121430215  121499266    279      66  170505      0.19492    5.6534e-05      0.19486
SNCAIP         5  121612455  121809794    710      73  196996      -1.4452    5.6534e-05      -1.4453
SNX2           5  122075691  122180234    557      44  299037    -0.077339    5.6534e-05    -0.077396
SNX24          5  122146149  122357317   1090      49  276887       -1.053    5.6534e-05       -1.053
PPIC           5  122349078  122407425    339      53  276964     -0.83803    5.6534e-05     -0.83808
PRDM6          5  122389841  122539960    894      95  289715     -0.37051    5.6534e-05     -0.37057
CEP120         5  122670579  122794286    528      43  299733     -0.69868    5.6534e-05     -0.69874
CSNK1G3        5  122812793  122962739    549      52  214705     -0.74167    5.6534e-05     -0.74173
ZNF608         5  123962606  124119517    726     113  274377       3.1945    5.6534e-05       3.1945
GRAMD2B        5  125660788  125839853    885     134  258997     -0.55506    5.6534e-05     -0.55512
ALDH7A1        5  125867533  125966104    479      69  260206     -0.19416    5.6534e-05     -0.19421
PHAX           5  125901607  125972944    344      38  280907     -0.96618    5.6534e-05     -0.96624
TEX43          5  125932414  125981974    253      37  294386     -0.59942    5.6534e-05     -0.59948
LMNB1          5  126077315  126182712    523      54  282066      0.58172    5.6534e-05      0.58166
MARCHF3        5  126193406  126401500    924      37  251057      -1.2697    5.6534e-05      -1.2698
C5orf63        5  126368250  126444184    320      32  256834      -1.2908    5.6534e-05      -1.2908
MEGF10         5  126530206  126806914   1484      64  277178      0.94667    5.6534e-05      0.94662
PRRC1          5  126818301  126900781    354      44  262549       2.4437    5.6534e-05       2.4437
CTXN3          5  126949713  127004322    303      60  235737     -0.62849    5.6534e-05     -0.62855
SLC12A2        5  127384483  127535380    495      56  200311       1.0419    5.6534e-05       1.0419
FBN2           5  127583601  127908735   1452      79  270809    -0.064139    5.6534e-05    -0.064196
SLC27A6        5  128265951  128379335    742      35  349573      0.53421    5.6534e-05      0.53415
ISOC1          5  128395442  128459721    272      39  299760     -0.12823    5.6534e-05     -0.12829
ADAMTS19       5  128761103  129084376   1414      83  273067       2.8267    5.6534e-05       2.8267
MINAR2         5  129048884  129110756    244      46  284893        3.337    5.6534e-05        3.337
CHSY3          5  129205389  129532327   1361      74  194803      0.13165    5.6534e-05       0.1316
LYRM7          5  130471641  130551119    377      32  258009     -0.73449    5.6534e-05     -0.73455
HINT1          5  130484976  130536041    244      35  240106     -0.76648    5.6534e-05     -0.76654
CDC42SE2       5  130564702  130740383    673      60  142075     -0.55131    5.6534e-05     -0.55137
RAPGEF6        5  130749614  131005929    920      54  183899     -0.18342    5.6534e-05     -0.18348
FNIP1          5  130967407  131167756    697      52  183090     -0.13134    5.6534e-05      -0.1314
MEIKIN         5  131132683  131316391    745      65  161420     -0.16457    5.6534e-05     -0.16462
ACSL6          5  131275666  131382761    460      63  188573     -0.17528    5.6534e-05     -0.17534
IL3            5  131361347  131408896    242      47  179595     -0.68253    5.6534e-05     -0.68258
CSF2           5  131374485  131421863    257      49  162096      -0.7922    5.6534e-05     -0.79225
P4HA2          5  131518299  131598556    391      61  217718     -0.80375    5.6534e-05      -0.8038
PDLIM4         5  131558351  131619147    310      38  236361    -0.015372    5.6534e-05    -0.015429
SLC22A4        5  131595145  131689899    448      47  254704      0.70802    5.6534e-05      0.70796
SLC22A5        5  131670396  131741306    345      33  277859      0.71279    5.6534e-05      0.71273
IRF1           5  131807301  131861465    246      42  245452     -0.66251    5.6534e-05     -0.66256
RAD50          5  131857616  131990313    512      41  152774      0.46824    5.6534e-05      0.46819
IL5            5  131867136  131927555    227      39  144986      0.73289    5.6534e-05      0.73283
IL13           5  131958865  132006801    200      49  167318    -0.062145    5.6534e-05    -0.062201
IL4            5  131974678  132028370    229      62  181977     -0.75708    5.6534e-05     -0.75714
KIF3A          5  132018323  132108265    355      43  185747     -0.99725    5.6534e-05      -0.9973
CCNI2          5  132048137  132099856    193      41  149872     -0.47125    5.6534e-05      -0.4713
SEPTIN8        5  132076509  132148976    269      43  172416     -0.49282    5.6534e-05     -0.49288
SOWAHA         5  132114033  132162489    179      52  167600       -0.243    5.6534e-05     -0.24305
SHROOM1        5  132147833  132201655    227      48  181098      0.34004    5.6534e-05      0.33998
UQCRQ          5  132167319  132214536    221      48  208312      0.71756    5.6534e-05       0.7175
LEAP2          5  132174358  132220582    227      46  212939      0.78839    5.6534e-05      0.78833
GDF9           5  132186877  132237238    213      43  213147       0.9077    5.6534e-05      0.90764
AFF4           5  132201071  132334354    621      48  207707       1.0217    5.6534e-05       1.0217
ZCCHC10        5  132322677  132397275    365      45  235672      -1.2185    5.6534e-05      -1.2185
HSPA4          5  132352662  132450709    476      46  245123     -0.74766    5.6534e-05     -0.74771
FSTL4          5  132522152  132983223   2270     225  269385      0.80862    5.6534e-05      0.80856
C5orf15        5  133281198  133339406    238      67  207005     -0.55107    5.6534e-05     -0.55112
VDAC1          5  133297566  133376300    322      47  252607     -0.14819    5.6534e-05     -0.14825
TCF7           5  133415402  133493920    392      62  205345      -1.0519    5.6534e-05      -1.0519
SKP1           5  133482082  133547724    325      37  195077      -1.5817    5.6534e-05      -1.5817
PPP2CA         5  133522148  133596950    299      27  256373       -1.592    5.6534e-05       -1.592
CDKL3          5  133561817  133741805    635      37  197191      -1.4364    5.6534e-05      -1.4364
UBE2B          5  133671843  133737799    242      38  185419      -1.2463    5.6534e-05      -1.2464
CDKN2AIPNL     5  133727756  133782598    191      50  161118      -1.8869    5.6534e-05       -1.887
JADE2          5  133825003  133928918    441      73  266295       2.8097    5.6534e-05       2.8096
SAR1B          5  133926839  134003533    223      69  123748      0.84467    5.6534e-05      0.84461
SEC24A         5  133949472  134073601    391      64  121713      0.24483    5.6534e-05      0.24478
CAMLG          5  134039170  134097850    186      48  137238      0.74144    5.6534e-05      0.74139
DDX46          5  134059461  134176811    394      53  136794       1.0466    5.6534e-05       1.0465
C5orf24        5  134146370  134205425    176      45  158913      0.73181    5.6534e-05      0.73176
TXNDC15        5  134174427  134247323    210      60  190882      0.37709    5.6534e-05      0.37703
PCBD2          5  134205810  134308336    317      55  189135      0.72599    5.6534e-05      0.72593
CATSPER3       5  134268596  134357397    328      56  177257       2.7855    5.6534e-05       2.7855
PITX1          5  134353424  134404964    234      52  219710       2.3147    5.6534e-05       2.3146
MACROH2A1      5  134660071  134770645    386      53  205930      -1.5733    5.6534e-05      -1.5734
DCANP1         5  134769904  134818038    251      51  306746      -0.1962    5.6534e-05     -0.19626
TIFAB          5  134774558  134823089    254      38  307016     -0.27755    5.6534e-05     -0.27761
NEUROG1        5  134859972  134906639    186      61  187366      0.10744    5.6534e-05      0.10738
CXCL14         5  134896369  134949969    221      40  257714     -0.56349    5.6534e-05     -0.56355
SLC25A48       5  135135365  135234326    602      54  293105     -0.10604    5.6534e-05     -0.10609
IL9            5  135217935  135266516    287      37  313006       1.4695    5.6534e-05       1.4694
LECT2          5  135272600  135325723    310      28  319380      0.57703    5.6534e-05      0.57697
TGFBI          5  135329584  135409507    366      66  232987     -0.97556    5.6534e-05     -0.97562
SMAD5          5  135433536  135528422    369      32  259339     -0.53081    5.6534e-05     -0.53086
TRPC7          5  135538458  135736164    850      62  249999      -0.2498    5.6534e-05     -0.24986
SPOCK1         5  136300987  136870018   2630     166  261983      0.75839    5.6534e-05      0.75833
KLHL3          5  136943189  137185310    853     100  200498     -0.48639    5.6534e-05     -0.48644
HNRNPA0        5  137077073  137125039    143      53  142419      0.45806    5.6534e-05      0.45801
MYOT           5  137168536  137233540    195      53  157751      0.32784    5.6534e-05      0.32778
PKD2L2         5  137190125  137286156    351      51  178933      0.71375    5.6534e-05      0.71369
FAM13B         5  137263638  137422650    641      46  223836      0.82619    5.6534e-05      0.82613
WNT8A          5  137384581  137438337    204      43  242592       1.0334    5.6534e-05       1.0334
NME5           5  137440861  137510132    227      58  191374       1.9231    5.6534e-05        1.923
BRD8           5  137465455  137549358    275      43  175641       1.9694    5.6534e-05       1.9694
KIF20A         5  137479408  137533404    183      53  165137        1.926    5.6534e-05        1.926
CDC23          5  137513337  137584032    265      49  184501       2.2141    5.6534e-05       2.2141
GFRA3          5  137578069  137645544    242      61  247560       2.7355    5.6534e-05       2.7355
CDC25C         5  137610959  137709064    360      45  268432       3.1622    5.6534e-05       3.1621
FAM53C         5  137638224  137695418    207      44  280297       3.3228    5.6534e-05       3.3228
KDM3B          5  137653285  137782716    515      54  262798        3.316    5.6534e-05       3.3159
REEP2          5  137739690  137792658    223      48  296922       3.4237    5.6534e-05       3.4236
EGR1           5  137766181  137815004    199      48  293213       2.6456    5.6534e-05       2.6455
ETF1           5  137831782  137913989    298      45  204511     -0.48787    5.6534e-05     -0.48793
HSPA9          5  137880571  137946318    246      45  239601     -0.95612    5.6534e-05     -0.95617
CTNNA1         5  138054075  138280723   1009      42  175377       0.5629    5.6534e-05      0.56285
LRRTM2         5  138195079  138246057    217      32  164755       1.7121    5.6534e-05        1.712
SIL1           5  138272409  138569065    954      82  200761      -1.6103    5.6534e-05      -1.6104
MATR3          5  138574441  138677366    283      55  151897      -1.2413    5.6534e-05      -1.2413
PAIP2          5  138642519  138715409    203      68  165941      -1.1306    5.6534e-05      -1.1307
SLC23A1        5  138692885  138755632    164      52  170877      -1.5016    5.6534e-05      -1.5017
MZB1           5  138713257  138760605    123      35  194209      -1.0103    5.6534e-05      -1.0103
PROB1          5  138717635  138765885    119      28  212292      -1.0265    5.6534e-05      -1.0266
SPATA24        5  138721514  138774820    130      34  202502     -0.99327    5.6534e-05     -0.99333
DNAJC18        5  138735892  138815171    124      32  219431     -0.72417    5.6534e-05     -0.72423
STING1         5  138845113  138897343    183      62  193773       2.3633    5.6534e-05       2.3632
UBE2D2         5  138905751  139018019    401      44  239254      0.79985    5.6534e-05       0.7998
CXXC5          5  138993301  139073467    270      56  211406     0.053688    5.6534e-05     0.053632
PSD2           5  139140406  139234051    356      74  189979       2.8726    5.6534e-05       2.8726
NRG2           5  139216364  139457884    860     127  216733     -0.19004    5.6534e-05     -0.19009
PURA           5  139458708  139509001    113      41  179637     -0.77233    5.6534e-05     -0.77239
IGIP           5  139470521  139518391    108      45  158176    -0.099678    5.6534e-05    -0.099734
CYSTM1         5  139519653  139633374    413      36  233291      0.89182    5.6534e-05      0.89176
PFDN1          5  139614635  139717689    382      47  209016       1.7717    5.6534e-05       1.7717
HBEGF          5  139702428  139761188    165      54  231856     -0.29517    5.6534e-05     -0.29523
SLC4A9         5  139704787  139764722    169      56  229460     -0.11279    5.6534e-05     -0.11285
ANKHD1         5  139746399  139929441    479      70  134719     -0.40843    5.6534e-05     -0.40849
EIF4EBP3       5  139892251  139939163    120      40  149944     -0.32522    5.6534e-05     -0.32528
SLC35A4        5  139909420  139958683    150      40  169597     -0.24091    5.6534e-05     -0.24097
SRA1           5  139919652  139972678    167      43  161491     -0.22082    5.6534e-05     -0.22088
APBB3          5  139927853  139979189    176      42  175430      0.20439    5.6534e-05      0.20434
TMCO6          5  139984012  140034989    220      42  230679      0.85775    5.6534e-05      0.85769
IK             5  139992384  140052065    261      36  224310      0.34362    5.6534e-05      0.34356
CD14           5  140001313  140048286    221      41  222517     0.075977    5.6534e-05     0.075921
WDR55          5  140009384  140061930    224      44  205074      -0.1471    5.6534e-05     -0.14715
NDUFA2         5  140014948  140062370    204      41  198435     -0.30255    5.6534e-05     -0.30261
HARS2          5  140036011  140088903    208      36  210827     -0.71245    5.6534e-05     -0.71251
DND1           5  140040381  140088171    185      32  219864     -0.81957    5.6534e-05     -0.81962
ZMAT2          5  140043265  140096248    212      34  215954     -0.80998    5.6534e-05     -0.81004
HARS1          5  140043490  140106681    245      37  200847     -0.81987    5.6534e-05     -0.81992
SLC25A2        5  140672196  140718612    216      41  318193      0.41742    5.6534e-05      0.41736
TAF7           5  140688057  140735351    212      54  269189     0.076414    5.6534e-05     0.076358
DIAPH1         5  140884588  141033622    601      64  225183      0.68706    5.6534e-05      0.68701
RELL2          5  140981517  141030918    220      64  258106       1.3148    5.6534e-05       1.3148
HDAC3          5  140990443  141051423    274      65  267886      0.93275    5.6534e-05       0.9327
FCHSD1         5  141008869  141065986    271      67  286260      0.44892    5.6534e-05      0.44886
ARAP3          5  141022968  141096800    405      92  314647     -0.47845    5.6534e-05      -0.4785
PCDH1          5  141222655  141293361    300      69  275183     -0.10381    5.6534e-05     -0.10387
DELE1          5  141268350  141340027    354      52  277313      0.11574    5.6534e-05      0.11568
RNF14          5  141311402  141379856    336      47  278512     -0.51385    5.6534e-05     -0.51391
PCDH12         5  141313150  141373627    272      52  256655     -0.76393    5.6534e-05     -0.76398
GNPDA1         5  141370234  141427620    323      74  245730      0.19068    5.6534e-05      0.19062
NDFIP1         5  141453324  141544008    488      42  304961     -0.51132    5.6534e-05     -0.51138
SPRY4          5  141679992  141739620    262      36  300086     0.082453    5.6534e-05     0.082396
FGF1           5  141961743  142112635    881     144  227027      0.87107    5.6534e-05      0.87101
ARHGAP26       5  142114881  142618572   2269     184  228528      -1.0956    5.6534e-05      -1.0957
NR3C1          5  142647496  143148322   2204     165  241848      -1.3344    5.6534e-05      -1.3344
HMHB1          5  143156726  143210284    310      38  241636      -0.3748    5.6534e-05     -0.37486
KCTD16         5  143515437  143868097   1305      78  230894     -0.93885    5.6534e-05     -0.93891
YIPF5          5  143527723  143585278    261      25  284884      -1.7291    5.6534e-05      -1.7291
PRELID2        5  145128582  145249899    584      65  185333     -0.50952    5.6534e-05     -0.50957
GRXCR2         5  145229204  145334816    477      76  222047      -1.3204    5.6534e-05      -1.3205
SH3RF2         5  145281126  145468680    848      71  234175      -1.0213    5.6534e-05      -1.0213
PLAC8L1        5  145453876  145518946    303      16  295091     -0.64831    5.6534e-05     -0.64837
LARS1          5  145482589  145597294    574      25  289749     -0.64116    5.6534e-05     -0.64122
RBM27          5  145548113  145678786    477      40  257109       -0.533    5.6534e-05     -0.53306
POU4F3         5  145683587  145730083    213      49  250247     -0.84993    5.6534e-05     -0.84999
TCERG1         5  145791873  145901071    466      59  310496      -1.5165    5.6534e-05      -1.5165
GPR151         5  145884417  145930676    227      41  328541      -0.9339    5.6534e-05     -0.93395
