Gene stable ID	Gene name	Gene % GC content	Gene type	HGNC symbol
ENSG00000234231	AC093616.1	38.60	transcribed_unprocessed_pseudogene	
ENSG00000157020	SEC13	46.78	protein_coding	SEC13
ENSG00000198010	DLGAP2	47.91	protein_coding	DLGAP2
ENSG00000280721	LINC01943	44.77	lncRNA	LINC01943
ENSG00000185522	LMNTD2	66.96	protein_coding	LMNTD2
ENSG00000274233	CCL5	46.00	protein_coding	CCL5
ENSG00000213742	ZNF337-AS1	40.92	lncRNA	ZNF337-AS1
ENSG00000152292	SH2D6	54.47	protein_coding	SH2D6
ENSG00000278173	NLRP7	49.79	protein_coding	NLRP7
ENSG00000243053	RPL31P58	44.06	processed_pseudogene	RPL31P58
ENSG00000264138	AC024267.2	52.93	unprocessed_pseudogene	
ENSG00000225761	AL596247.1	40.99	lncRNA	
ENSG00000214354	AC133644.1	45.36	processed_pseudogene	
ENSG00000132591	ERAL1	50.61	protein_coding	ERAL1
ENSG00000273445	AC133644.2	43.89	lncRNA	
ENSG00000259985	AC017100.1	44.65	lncRNA	
ENSG00000229604	MTATP8P2	39.11	processed_pseudogene	MTATP8P2
ENSG00000185009	AP3M1	41.25	protein_coding	AP3M1
ENSG00000172943	PHF8	43.07	protein_coding	PHF8
ENSG00000125551	PLGLB2	39.96	protein_coding	PLGLB2
ENSG00000105640	RPL18A	58.25	protein_coding	RPL18A
ENSG00000278383	AL031673.1	44.42	lncRNA	
ENSG00000236542	MED28P7	49.43	processed_pseudogene	MED28P7
ENSG00000130684	ZNF337	42.76	protein_coding	ZNF337
ENSG00000157765	SLC34A2	47.92	protein_coding	SLC34A2
ENSG00000185304	RGPD2	39.62	protein_coding	RGPD2
ENSG00000274080	AC005089.1	53.50	lncRNA	
ENSG00000280003	AC097637.2	53.98	TEC	
ENSG00000204020	LIPN	35.81	protein_coding	LIPN
ENSG00000230125	EEF1A1P39	42.00	processed_pseudogene	EEF1A1P39
ENSG00000260425	AL031709.1	50.28	lncRNA	
ENSG00000260132	AL032819.1	49.58	lncRNA	
ENSG00000213347	MXD3	58.63	protein_coding	MXD3
ENSG00000285773	AL161893.1	44.59	lncRNA	
ENSG00000235642	PTP4A1P5	37.36	processed_pseudogene	PTP4A1P5
ENSG00000282498	AC015849.12	45.81	lncRNA	
ENSG00000059145	UNKL	57.82	protein_coding	UNKL
ENSG00000225039	LINC01058	54.28	lncRNA	LINC01058
ENSG00000124678	TCP11	43.16	protein_coding	TCP11
ENSG00000258593	AL583810.1	45.93	lncRNA	
ENSG00000225238	Z93015.1	57.95	processed_pseudogene	
ENSG00000224960	PPP4R3C	37.70	protein_coding	PPP4R3C
ENSG00000188937	NYX	46.95	protein_coding	NYX
ENSG00000254815	AP006284.1	63.07	lncRNA	
ENSG00000223391	AC006210.1	41.44	processed_pseudogene	
ENSG00000182774	RPS17	49.43	protein_coding	RPS17
ENSG00000250195	AC109927.1	42.68	lncRNA	
ENSG00000238247	AC006210.2	41.52	processed_pseudogene	
ENSG00000247596	TWF2	59.69	protein_coding	TWF2
ENSG00000250577	AC109927.2	41.58	lncRNA	
ENSG00000035403	VCL	41.45	protein_coding	VCL
ENSG00000278083	AC013476.2	38.13	processed_pseudogene	
ENSG00000101057	MYBL2	49.88	protein_coding	MYBL2
ENSG00000250756	AC018645.1	55.96	unprocessed_pseudogene	
ENSG00000226465	AL390198.1	39.07	lncRNA	
ENSG00000276556	AF254982.1	52.73	unprocessed_pseudogene	
ENSG00000230772	VN1R108P	43.01	unprocessed_pseudogene	VN1R108P
ENSG00000278738	KIR2DL1	48.35	protein_coding	KIR2DL1
ENSG00000119321	FKBP15	41.17	protein_coding	FKBP15
ENSG00000282160	AF067845.5	53.11	lncRNA	
ENSG00000260721	AF067845.1	48.66	lncRNA	
ENSG00000254160	AC110288.1	56.74	lncRNA	
ENSG00000104714	ERICH1	51.17	protein_coding	ERICH1
ENSG00000222041	CYTOR	44.71	lncRNA	CYTOR
ENSG00000277282	IGHV1OR21-1	53.67	IG_V_gene	IGHV1OR21-1
ENSG00000224419	KRT18P27	55.35	processed_pseudogene	KRT18P27
ENSG00000229306	AP001464.1	38.78	lncRNA	
ENSG00000226873	CDY14P	40.73	unprocessed_pseudogene	CDY14P
ENSG00000228179	HLA-S	50.23	unprocessed_pseudogene	HLA-S
ENSG00000277477	KIR3DP1	49.02	unprocessed_pseudogene	KIR3DP1
ENSG00000235150	RCBTB2P1	43.84	processed_pseudogene	RCBTB2P1
ENSG00000234384	LINC01049	35.34	lncRNA	LINC01049
ENSG00000227915	ELOCP16	39.46	unprocessed_pseudogene	ELOCP16
ENSG00000231674	LINC00410	35.52	lncRNA	LINC00410
ENSG00000169763	PRYP3	41.74	protein_coding	PRYP3
ENSG00000220920	AL023807.1	46.24	unprocessed_pseudogene	
ENSG00000227983	BRK1P2	39.46	processed_pseudogene	BRK1P2
ENSG00000239732	TLR9	60.76	protein_coding	TLR9
ENSG00000273162	AL133215.2	51.28	lncRNA	
ENSG00000124688	MAD2L1BP	49.25	protein_coding	MAD2L1BP
ENSG00000229851	ARSD-AS1	47.71	lncRNA	ARSD-AS1
ENSG00000173366	AC097637.1	60.17	protein_coding	
ENSG00000259994	AL353796.1	36.81	lncRNA	
ENSG00000137177	KIF13A	40.89	protein_coding	KIF13A
ENSG00000236620	XKRYP3	36.10	unprocessed_pseudogene	XKRYP3
ENSG00000006756	ARSD	48.88	protein_coding	ARSD
ENSG00000173065	FAM222B	45.72	protein_coding	FAM222B
ENSG00000224866	USP9YP25	30.63	unprocessed_pseudogene	USP9YP25
ENSG00000236444	UBE2L5	43.08	protein_coding	UBE2L5
ENSG00000112474	HSD17B8	56.61	protein_coding	HSD17B8
ENSG00000282375	AC100797.5	56.65	lncRNA	
ENSG00000265158	LRRC37A7P	50.34	transcribed_processed_pseudogene	LRRC37A7P
ENSG00000282692	AC129915.3	47.05	lncRNA	
ENSG00000163254	CRYGC	42.26	protein_coding	CRYGC
ENSG00000102078	SLC25A14	37.86	protein_coding	SLC25A14
ENSG00000253267	DLGAP2-AS1	45.07	lncRNA	DLGAP2-AS1
ENSG00000263772	AC017100.2	48.73	processed_pseudogene	
ENSG00000250893	AC098869.2	41.72	lncRNA	
ENSG00000242197	AC098869.1	45.55	processed_pseudogene	
ENSG00000224529	AC093698.2	47.92	processed_pseudogene	
ENSG00000118990	GLRXP3	48.29	processed_pseudogene	GLRXP3
ENSG00000234625	LINC00380	39.53	lncRNA	LINC00380
ENSG00000264874	AC087499.6	40.37	processed_pseudogene	
ENSG00000182187	CRYGB	47.96	protein_coding	CRYGB
ENSG00000229557	LINC00379	39.97	lncRNA	LINC00379
ENSG00000227686	VARS	56.19	protein_coding	VARS
ENSG00000214178	PPIAP23	48.69	processed_pseudogene	PPIAP23
ENSG00000284879	AC133644.3	43.91	lncRNA	
ENSG00000165125	TRPV6	51.09	protein_coding	TRPV6
ENSG00000282716	IGHV1-18	56.45	IG_V_gene	IGHV1-18
ENSG00000069998	HDHD5	50.12	protein_coding	HDHD5
ENSG00000215417	MIR17HG	44.48	lncRNA	MIR17HG
ENSG00000105711	SCN1B	56.28	protein_coding	SCN1B
ENSG00000174171	AC020659.1	54.84	lncRNA	
ENSG00000108551	RASD1	62.89	protein_coding	RASD1
ENSG00000136867	SLC31A2	48.03	protein_coding	SLC31A2
ENSG00000243789	JMJD7	54.78	protein_coding	JMJD7
ENSG00000227739	TUBB	53.04	protein_coding	TUBB
ENSG00000158525	CPA5	50.60	protein_coding	CPA5
ENSG00000152049	KCNE4	39.96	protein_coding	KCNE4
ENSG00000273391	AC083880.1	62.06	lncRNA	
ENSG00000269955	FMC1-LUC7L2	40.23	protein_coding	FMC1-LUC7L2
ENSG00000186562	DEFB105A	38.31	protein_coding	DEFB105A
ENSG00000071909	MYO3B	40.21	protein_coding	MYO3B
ENSG00000204922	UQCC3	52.84	protein_coding	UQCC3
ENSG00000152766	ANKRD22	37.87	protein_coding	ANKRD22
ENSG00000100823	APEX1	47.06	protein_coding	APEX1
ENSG00000283235	AC139493.2	51.56	lncRNA	
ENSG00000164898	FMC1	46.48	protein_coding	FMC1
ENSG00000267605	AC016590.1	54.08	lncRNA	
ENSG00000224309	ANKRD30BP2	36.72	transcribed_unprocessed_pseudogene	ANKRD30BP2
ENSG00000255432	AP001458.2	49.07	protein_coding	
ENSG00000152086	TUBA3E	51.65	protein_coding	TUBA3E
ENSG00000119660	DPPA5P4	56.99	processed_pseudogene	DPPA5P4
ENSG00000196597	ZNF782	38.74	protein_coding	ZNF782
ENSG00000214756	CSKMT	52.54	protein_coding	CSKMT
ENSG00000242318	AC058823.1	40.72	processed_pseudogene	
ENSG00000248469	AC139491.1	44.18	lncRNA	
ENSG00000138698	RAP1GDS1	36.01	protein_coding	RAP1GDS1
ENSG00000267672	AC010632.2	41.34	lncRNA	
ENSG00000146963	LUC7L2	40.36	protein_coding	LUC7L2
ENSG00000251458	AC139491.4	43.15	lncRNA	
ENSG00000267360	AC012309.1	40.84	protein_coding	
ENSG00000265511	AC020558.2	62.94	lncRNA	
ENSG00000162194	LBHD1	52.45	protein_coding	LBHD1
ENSG00000280500	ELMO2P1	41.21	transcribed_unprocessed_pseudogene	ELMO2P1
ENSG00000131941	RHPN2	48.33	protein_coding	RHPN2
ENSG00000133027	PEMT	55.22	protein_coding	PEMT
ENSG00000273138	AC005021.1	36.90	lncRNA	
ENSG00000282364	AC004980.6	43.26	processed_pseudogene	
ENSG00000182230	FAM153B	45.36	protein_coding	FAM153B
ENSG00000282580	AC004980.7	35.50	lncRNA	
ENSG00000105854	PON2	38.28	protein_coding	PON2
ENSG00000197050	ZNF420	41.83	protein_coding	ZNF420
ENSG00000179967	PPP1R14BP3	65.17	processed_pseudogene	PPP1R14BP3
ENSG00000151014	NOCT	44.82	protein_coding	NOCT
ENSG00000103966	EHD4	47.10	protein_coding	EHD4
ENSG00000273884	LILRA3	51.44	protein_coding	LILRA3
ENSG00000235765	SAPCD1-AS1	50.20	lncRNA	SAPCD1-AS1
ENSG00000168582	CRYGA	43.33	protein_coding	CRYGA
ENSG00000234951	SAPCD1	53.77	protein_coding	SAPCD1
ENSG00000155265	GOLGA7B	49.35	protein_coding	GOLGA7B
ENSG00000173239	LIPM	39.37	protein_coding	LIPM
ENSG00000240271	AC090142.1	51.52	processed_pseudogene	
ENSG00000253420	AC103853.1	34.65	lncRNA	
ENSG00000164334	FAM170A	48.53	protein_coding	FAM170A
ENSG00000109381	ELF2	39.88	protein_coding	ELF2
ENSG00000243939	AC090142.2	43.03	processed_pseudogene	
ENSG00000185837	HDHD5-AS1	49.27	lncRNA	HDHD5-AS1
ENSG00000253318	TMCC1P1	46.82	processed_pseudogene	TMCC1P1
ENSG00000253526	AC090802.1	35.19	lncRNA	
ENSG00000095713	CRTAC1	48.15	protein_coding	CRTAC1
ENSG00000283157	AC012564.1	44.89	lncRNA	
ENSG00000160185	UBASH3A	49.32	protein_coding	UBASH3A
ENSG00000243601	RPL12P24	45.88	processed_pseudogene	RPL12P24
ENSG00000251003	ZFPM2-AS1	36.31	lncRNA	ZFPM2-AS1
ENSG00000141437	SLC25A52	43.21	protein_coding	SLC25A52
ENSG00000279617	AC005796.1	51.96	TEC	
ENSG00000224970	AC245427.1	50.98	lncRNA	
ENSG00000243708	PLA2G4B	60.49	protein_coding	PLA2G4B
ENSG00000185085	INTS5	54.61	protein_coding	INTS5
ENSG00000179766	ATP8B5P	39.90	transcribed_unprocessed_pseudogene	ATP8B5P
ENSG00000253997	AC090142.3	43.90	processed_pseudogene	
ENSG00000254041	AC021546.1	36.30	lncRNA	
ENSG00000273485	AL139339.2	54.64	lncRNA	
ENSG00000196967	ZNF585A	40.77	protein_coding	ZNF585A
ENSG00000157017	GHRL	53.43	protein_coding	GHRL
ENSG00000227314	MSH5	48.55	protein_coding	MSH5
ENSG00000267611	AC008521.1	40.11	processed_pseudogene	
ENSG00000138172	CALHM2	55.67	protein_coding	CALHM2
ENSG00000169946	ZFPM2	37.04	protein_coding	ZFPM2
ENSG00000142621	FHAD1	47.42	protein_coding	FHAD1
ENSG00000278615	C11orf98	51.08	protein_coding	C11orf98
ENSG00000270789	AC135983.5	52.08	processed_pseudogene	
ENSG00000261375	AC135983.4	55.13	unprocessed_pseudogene	
ENSG00000213663	AC010409.1	41.81	processed_pseudogene	
ENSG00000254912	AC135983.3	38.79	unprocessed_pseudogene	
ENSG00000236538	ZNF863P	37.05	processed_pseudogene	ZNF863P
ENSG00000231918	AC007402.1	35.27	lncRNA	
ENSG00000133835	HSD17B4	37.34	protein_coding	HSD17B4
ENSG00000275835	TUBGCP5	43.31	protein_coding	TUBGCP5
ENSG00000230327	MTCO1P42	45.04	processed_pseudogene	MTCO1P42
ENSG00000225444	LINC01867	35.82	lncRNA	LINC01867
ENSG00000230840	AC097463.2	49.30	processed_pseudogene	
ENSG00000224344	KNOP1P3	46.48	processed_pseudogene	KNOP1P3
ENSG00000287867	AC007402.2	35.59	lncRNA	
ENSG00000281996	IGHV3-19	55.33	IG_V_pseudogene	IGHV3-19
ENSG00000185933	CALHM1	56.56	protein_coding	CALHM1
ENSG00000281928	AC247036.2	46.22	lncRNA	
ENSG00000107821	KAZALD1	58.78	protein_coding	KAZALD1
ENSG00000282476	IGHV3-20	52.32	IG_V_gene	IGHV3-20
ENSG00000226686	LINC01535	44.52	lncRNA	LINC01535
ENSG00000234699	AL139339.1	54.29	lncRNA	
ENSG00000278493	AC039056.2	46.18	lncRNA	
ENSG00000244213	ZFAND6P1	41.16	processed_pseudogene	ZFAND6P1
ENSG00000137877	SPTBN5	59.31	protein_coding	SPTBN5
ENSG00000168757	TSPY2	53.20	protein_coding	TSPY2
ENSG00000281853	AL034349.2	44.77	lncRNA	
ENSG00000179915	NRXN1	35.81	protein_coding	NRXN1
ENSG00000171469	ZNF561	44.45	protein_coding	ZNF561
ENSG00000273993	PTPRK	35.40	protein_coding	PTPRK
ENSG00000198826	ARHGAP11A	37.89	protein_coding	ARHGAP11A
ENSG00000243171	AC041039.1	40.67	processed_pseudogene	
ENSG00000254141	AC103853.2	33.81	lncRNA	
ENSG00000170445	HARS	44.98	protein_coding	HARS
ENSG00000188283	ZNF383	41.40	protein_coding	ZNF383
ENSG00000186579	DEFB106A	36.22	protein_coding	DEFB106A
ENSG00000144791	LIMD1	46.55	protein_coding	LIMD1
ENSG00000287579	AC139491.8	39.25	lncRNA	
ENSG00000232287	SLC6A1-AS1	50.84	lncRNA	SLC6A1-AS1
ENSG00000251623	AC139491.5	43.52	transcribed_processed_pseudogene	
ENSG00000282281	IGHV3-21	52.16	IG_V_gene	IGHV3-21
ENSG00000267437	AC012309.2	41.38	lncRNA	
ENSG00000229177	AC008154.1	44.46	lncRNA	
ENSG00000227632	AC018804.1	43.71	unprocessed_pseudogene	
ENSG00000240972	MIF	69.82	protein_coding	MIF
ENSG00000245680	ZNF585B	42.21	protein_coding	ZNF585B
ENSG00000157103	SLC6A1	50.30	protein_coding	SLC6A1
ENSG00000224472	TCF19	51.65	protein_coding	TCF19
ENSG00000176782	DEFB104A	44.58	protein_coding	DEFB104A
ENSG00000251022	THAP9-AS1	39.31	lncRNA	THAP9-AS1
ENSG00000214708	AC116407.1	53.66	lncRNA	
ENSG00000168970	JMJD7-PLA2G4B	57.70	protein_coding	JMJD7-PLA2G4B
ENSG00000259687	LINC01220	50.73	lncRNA	LINC01220
ENSG00000280033	AC116407.4	61.64	TEC	
ENSG00000266282	UBL5P2	45.66	processed_pseudogene	UBL5P2
ENSG00000265293	ARGFXP2	47.67	processed_pseudogene	ARGFXP2
ENSG00000172850	LSM2	48.17	protein_coding	LSM2
ENSG00000183688	RFLNB	48.81	protein_coding	RFLNB
ENSG00000283559	AC139491.6	43.57	transcribed_unprocessed_pseudogene	
ENSG00000287944	AC027584.1	35.82	lncRNA	
ENSG00000218537	MIF-AS1	59.69	lncRNA	MIF-AS1
ENSG00000230756	RHOQP3	46.54	processed_pseudogene	RHOQP3
ENSG00000213225	NOC2LP1	59.02	transcribed_processed_pseudogene	NOC2LP1
ENSG00000224920	TACC1P1	40.57	unprocessed_pseudogene	TACC1P1
ENSG00000133460	SLC2A11	50.84	protein_coding	SLC2A11
ENSG00000285476	AC139491.7	44.19	protein_coding	
ENSG00000264666	AC020558.1	50.68	lncRNA	
ENSG00000224208	AL590762.3	43.70	processed_pseudogene	
ENSG00000140044	JDP2	50.00	protein_coding	JDP2
ENSG00000282609	IGHV3-22	49.13	IG_V_pseudogene	IGHV3-22
ENSG00000286430	AC020558.6	62.61	lncRNA	
ENSG00000282127	IGHVII-22-1	52.45	IG_V_pseudogene	IGHVII-22-1
ENSG00000225276	MTND1P18	38.22	processed_pseudogene	MTND1P18
ENSG00000282687	IGHVIII-22-2	64.29	IG_V_pseudogene	IGHVIII-22-2
ENSG00000211456	SACM1L	38.00	protein_coding	SACM1L
ENSG00000281962	IGHV3-23	51.21	IG_V_gene	IGHV3-23
ENSG00000275269	FCAR	47.88	protein_coding	FCAR
ENSG00000213706	AL590762.2	49.56	processed_pseudogene	
ENSG00000248596	AC139491.2	43.36	lncRNA	
ENSG00000282284	IGHV1-24	55.82	IG_V_gene	IGHV1-24
ENSG00000228435	C6orf47	56.93	protein_coding	C6orf47
ENSG00000282601	HOMER2P2	58.21	processed_pseudogene	HOMER2P2
ENSG00000282710	IGHV3-25	49.22	IG_V_pseudogene	IGHV3-25
ENSG00000227665	C6orf47-AS1	56.50	lncRNA	C6orf47-AS1
ENSG00000256892	MTRNR2L7	37.59	protein_coding	MTRNR2L7
ENSG00000267345	AC010632.1	43.92	lncRNA	
ENSG00000077080	ACTL6B	53.08	protein_coding	ACTL6B
ENSG00000275547	AC010632.3	40.38	unprocessed_pseudogene	
ENSG00000236045	AL031283.3	50.96	lncRNA	
ENSG00000233485	AL031283.2	48.02	lncRNA	
ENSG00000240288	GHRLOS	52.12	lncRNA	GHRLOS
ENSG00000188674	C2orf80	41.53	protein_coding	C2orf80
ENSG00000267327	AC009271.1	37.79	lncRNA	
ENSG00000267732	AC006305.3	41.72	lncRNA	
ENSG00000272770	AC005696.2	40.70	lncRNA	
ENSG00000206129	AC006305.1	38.79	lncRNA	
ENSG00000267560	AC027514.2	38.84	lncRNA	
ENSG00000272410	AC022384.1	46.35	protein_coding	
ENSG00000266900	AC027514.1	34.37	lncRNA	
ENSG00000226578	AL132657.1	42.76	lncRNA	
ENSG00000134444	RELCH	34.66	protein_coding	RELCH
ENSG00000281926	IGHVIII-25-1	52.70	IG_V_pseudogene	IGHVIII-25-1
ENSG00000287248	AC009271.2	39.51	lncRNA	
ENSG00000259319	AF111167.2	45.97	lncRNA	
ENSG00000236514	AL135791.1	49.23	lncRNA	
ENSG00000267399	AC006305.2	40.46	lncRNA	
ENSG00000262480	SAMD11P1	65.51	processed_pseudogene	SAMD11P1
ENSG00000282344	IGHV2-26	53.85	IG_V_gene	IGHV2-26
ENSG00000286569	AC245427.2	43.94	lncRNA	
ENSG00000279432	AC015799.1	39.69	TEC	
ENSG00000267057	LINC01905	39.01	lncRNA	LINC01905
ENSG00000234830	FAM197Y9	43.73	transcribed_unprocessed_pseudogene	FAM197Y9
ENSG00000007168	PAFAH1B1	42.40	protein_coding	PAFAH1B1
ENSG00000157014	TATDN2	46.98	protein_coding	TATDN2
ENSG00000186513	OR9Q2	40.57	protein_coding	OR9Q2
ENSG00000183128	CALHM3	52.06	protein_coding	CALHM3
ENSG00000198105	ZNF248	39.14	protein_coding	ZNF248
ENSG00000282239	IGHVIII-26-1	48.40	IG_V_pseudogene	IGHVIII-26-1
ENSG00000282452	IGHVII-26-2	52.31	IG_V_pseudogene	IGHVII-26-2
ENSG00000256616	AP002414.2	42.04	transcribed_processed_pseudogene	
ENSG00000282267	IGHV7-27	54.59	IG_V_pseudogene	IGHV7-27
ENSG00000068784	SRBD1	36.55	protein_coding	SRBD1
ENSG00000197887	OR1S2	45.10	protein_coding	OR1S2
ENSG00000286685	AL158077.2	37.64	lncRNA	
ENSG00000280204	OR1S1	42.47	protein_coding	OR1S1
ENSG00000226431	AL121929.1	53.54	lncRNA	
ENSG00000235470	NEURL1-AS1	50.97	lncRNA	NEURL1-AS1
ENSG00000180475	OR10Q1	57.28	protein_coding	OR10Q1
ENSG00000254589	EIF4A2P3	37.82	processed_pseudogene	EIF4A2P3
ENSG00000114812	VIPR1	52.67	protein_coding	VIPR1
ENSG00000107954	NEURL1	50.46	protein_coding	NEURL1
ENSG00000172772	OR10W1	46.90	protein_coding	OR10W1
ENSG00000233942	AC004012.1	43.58	lncRNA	
ENSG00000156127	BATF	44.51	protein_coding	BATF
ENSG00000259883	EHD4-AS1	45.57	lncRNA	EHD4-AS1
ENSG00000285492	AL356417.3	44.43	lncRNA	
ENSG00000271913	AL035530.2	42.15	lncRNA	
ENSG00000259032	ENSAP2	53.12	processed_pseudogene	ENSAP2
ENSG00000263300	AC015853.3	45.50	lncRNA	
ENSG00000275009	GOLGA6L1	51.41	protein_coding	GOLGA6L1
ENSG00000258743	LINC02301	35.64	lncRNA	LINC02301
ENSG00000158691	ZSCAN12	41.13	protein_coding	ZSCAN12
ENSG00000276724	AC123768.4	38.23	lncRNA	
ENSG00000262728	AC123768.3	45.02	lncRNA	
ENSG00000272900	OR10Q2P	54.26	unprocessed_pseudogene	OR10Q2P
ENSG00000141252	VPS53	45.86	protein_coding	VPS53
ENSG00000255218	OR5BC1P	41.00	unprocessed_pseudogene	OR5BC1P
ENSG00000231952	DPY19L1P2	39.43	unprocessed_pseudogene	DPY19L1P2
ENSG00000244952	AC123768.2	42.13	lncRNA	
ENSG00000224362	DDX39BP2	48.87	unprocessed_pseudogene	DDX39BP2
ENSG00000272905	AC018648.1	35.03	lncRNA	
ENSG00000168122	ZNF355P	34.06	unprocessed_pseudogene	ZNF355P
ENSG00000232653	GOLGA8N	48.92	protein_coding	GOLGA8N
ENSG00000287419	AL121929.3	52.10	lncRNA	
ENSG00000225981	AC102953.1	59.28	lncRNA	
ENSG00000250090	AL390198.2	45.05	unprocessed_pseudogene	
ENSG00000273230	AC102953.2	60.34	lncRNA	
ENSG00000275048	BSNDP1	56.40	processed_pseudogene	BSNDP1
ENSG00000280476	AC116165.4	41.63	unprocessed_pseudogene	
ENSG00000175170	FAM182B	47.49	lncRNA	FAM182B
ENSG00000130363	RSPH3	39.75	protein_coding	RSPH3
ENSG00000127412	TRPV5	45.79	protein_coding	TRPV5
ENSG00000237202	AJ239321.1	42.55	processed_pseudogene	
ENSG00000095485	CWF19L1	42.57	protein_coding	CWF19L1
ENSG00000217930	PAM16	56.77	protein_coding	PAM16
ENSG00000231898	MYO3B-AS1	40.36	lncRNA	MYO3B-AS1
ENSG00000231834	HLA-A	55.11	protein_coding	HLA-A
ENSG00000260930	LINC01416	37.96	lncRNA	LINC01416
ENSG00000227465	GPN3P1	37.57	processed_pseudogene	GPN3P1
ENSG00000280108	AJ239318.1	39.64	lncRNA	
ENSG00000267712	LINC01539	38.83	lncRNA	LINC01539
ENSG00000223509	AC135983.2	39.96	transcribed_processed_pseudogene	
ENSG00000232464	Z98949.3	43.95	lncRNA	
ENSG00000214559	AC019077.1	43.40	lncRNA	
ENSG00000278960	AL022329.3	50.00	lncRNA	
ENSG00000232050	Z98949.2	32.64	processed_pseudogene	
ENSG00000128989	ARPP19	38.46	protein_coding	ARPP19
ENSG00000285948	AC123768.5	36.24	lncRNA	
ENSG00000278355	LILRA5	50.59	protein_coding	LILRA5
ENSG00000215112	FAM74A1	39.18	lncRNA	FAM74A1
ENSG00000225192	ZNF33BP1	35.44	processed_pseudogene	ZNF33BP1
ENSG00000261064	LINC02256	39.03	lncRNA	LINC02256
ENSG00000133454	MYO18B	45.93	protein_coding	MYO18B
ENSG00000231140	BX005214.2	40.00	lncRNA	
ENSG00000274973	BSNDP2	56.56	processed_pseudogene	BSNDP2
ENSG00000224478	AL356417.1	47.59	lncRNA	
ENSG00000224038	BX005214.1	40.98	lncRNA	
ENSG00000228828	TLK2P2	42.28	processed_pseudogene	TLK2P2
ENSG00000260137	AL132657.2	38.55	lncRNA	
ENSG00000187987	ZSCAN23	39.86	protein_coding	ZSCAN23
ENSG00000270661	Z99289.2	38.48	lncRNA	
ENSG00000164691	TAGAP	42.41	protein_coding	TAGAP
ENSG00000279025	AL356863.1	37.78	TEC	
ENSG00000235068	POU5F1	51.35	protein_coding	POU5F1
ENSG00000236354	LINC00437	36.09	lncRNA	LINC00437
ENSG00000155970	MICU3	35.97	protein_coding	MICU3
ENSG00000234701	PRDX3P3	41.19	processed_pseudogene	PRDX3P3
ENSG00000229437	LINC00366	36.36	lncRNA	LINC00366
ENSG00000231162	COX11P1	50.30	processed_pseudogene	COX11P1
ENSG00000112769	LAMA4	39.12	protein_coding	LAMA4
ENSG00000227492	AL138921.1	44.49	lncRNA	
ENSG00000230224	PHBP9	52.61	processed_pseudogene	PHBP9
ENSG00000170852	KBTBD2	41.11	protein_coding	KBTBD2
ENSG00000251080	AC024132.2	36.67	lncRNA	
ENSG00000236073	AL627311.1	41.74	processed_pseudogene	
ENSG00000233072	RPS15AP6	41.30	processed_pseudogene	RPS15AP6
ENSG00000271414	AC093107.2	53.71	processed_pseudogene	
ENSG00000235112	HSPE1P27	46.29	processed_pseudogene	HSPE1P27
ENSG00000223718	AC093107.1	49.75	processed_pseudogene	
ENSG00000163001	CFAP36	40.44	protein_coding	CFAP36
ENSG00000165782	PIP4P1	51.18	protein_coding	PIP4P1
ENSG00000224367	OACYLP	44.18	transcribed_unitary_pseudogene	OACYLP
ENSG00000251325	AC024132.3	40.11	lncRNA	
ENSG00000249699	LINC02261	38.85	lncRNA	LINC02261
ENSG00000164574	GALNT10	44.29	protein_coding	GALNT10
ENSG00000205830	AC024132.1	40.36	lncRNA	
ENSG00000072832	CRMP1	48.99	protein_coding	CRMP1
ENSG00000276798	LILRA4	49.08	protein_coding	LILRA4
ENSG00000226032	AL035530.1	42.96	lncRNA	
ENSG00000267722	AP002414.5	39.35	lncRNA	
ENSG00000276667	AL158077.1	59.20	unprocessed_pseudogene	
ENSG00000267478	AP002414.3	62.13	processed_pseudogene	
ENSG00000261402	AL591222.1	45.71	lncRNA	
ENSG00000219262	OR2E1P	44.13	unprocessed_pseudogene	OR2E1P
ENSG00000270712	AL591222.2	47.61	processed_pseudogene	
ENSG00000287804	Z98745.2	41.24	lncRNA	
ENSG00000277711	AL591222.3	38.10	processed_pseudogene	
ENSG00000237434	AL512635.1	42.43	processed_pseudogene	
ENSG00000286819	Z98745.1	48.81	lncRNA	
ENSG00000238104	PPP1R10	46.33	protein_coding	PPP1R10
ENSG00000223771	SUMO2P1	45.42	processed_pseudogene	SUMO2P1
ENSG00000269972	AC004542.1	42.57	lncRNA	
ENSG00000253352	TUG1	42.03	lncRNA	TUG1
ENSG00000267162	SDHDP1	53.16	processed_pseudogene	SDHDP1
ENSG00000185390	FGF7P2	32.80	unprocessed_pseudogene	FGF7P2
ENSG00000181626	ANKRD62	36.41	protein_coding	ANKRD62
ENSG00000162078	ZG16B	53.37	protein_coding	ZG16B
ENSG00000184608	FAM167A-AS1	44.15	lncRNA	FAM167A-AS1
ENSG00000213981	AC007277.1	41.36	lncRNA	
ENSG00000278070	GOLGA8EP	53.22	unprocessed_pseudogene	GOLGA8EP
ENSG00000214821	HMGB1P4	43.21	processed_pseudogene	HMGB1P4
ENSG00000224586	GPX5	40.97	protein_coding	GPX5
ENSG00000133935	ERG28	43.72	protein_coding	ERG28
ENSG00000255020	AF131216.3	53.90	lncRNA	
ENSG00000154319	FAM167A	52.56	protein_coding	FAM167A
ENSG00000175302	ANKRD30BP1	34.64	unprocessed_pseudogene	ANKRD30BP1
ENSG00000275575	PTP4A3	62.53	protein_coding	PTP4A3
